id,fecha,llamados,sospechosos,descartados,trasladados,derivados
1,2020-12-03 00:00:00,176,4,172,0,0
1,2020-12-04 00:00:00,155,6,149,0,3
1,2020-12-05 00:00:00,123,18,105,0,4
1,2020-12-06 00:00:00,84,14,70,0,1
1,2020-12-07 00:00:00,92,1,91,0,0
1,2020-12-08 00:00:00,122,22,100,0,4
1,2020-12-09 00:00:00,275,14,261,0,5
1,2020-12-10 00:00:00,192,9,183,1,5
1,2020-12-11 00:00:00,220,15,205,0,8
1,2020-12-12 00:00:00,143,14,129,0,2
1,2020-12-13 00:00:00,105,6,99,0,1
1,2020-12-14 00:00:00,285,10,275,0,3
1,2020-12-15 00:00:00,286,16,270,1,5
1,2020-12-16 00:00:00,325,10,315,0,3
1,2020-12-17 00:00:00,306,5,301,0,1
1,2020-12-18 00:00:00,356,7,349,0,2
1,2020-12-19 00:00:00,168,19,149,0,0
1,2020-12-20 00:00:00,198,17,181,0,1
1,2020-12-21 00:00:00,370,10,360,0,3
1,2020-12-22 00:00:00,411,9,402,1,3
1,2020-12-23 00:00:00,441,8,433,0,1
1,2020-12-24 00:00:00,224,22,202,0,2
1,2020-12-25 00:00:00,222,19,203,0,0
1,2020-12-26 00:00:00,196,27,169,0,1
1,2020-12-27 00:00:00,360,4,356,0,1
1,2020-12-28 00:00:00,632,14,618,1,2
1,2020-12-29 00:00:00,602,12,590,0,5
1,2020-12-30 00:00:00,585,14,571,0,3
1,2020-12-31 00:00:00,275,4,271,0,2
1,2021-01-01 00:00:00,255,19,236,0,2
1,2021-01-02 00:00:00,294,21,273,0,0
1,2021-01-03 00:00:00,281,23,258,0,2
1,2021-01-04 00:00:00,754,24,730,0,5
1,2021-01-05 00:00:00,634,18,616,0,4
1,2021-01-06 00:00:00,754,19,735,1,6
1,2021-01-07 00:00:00,721,11,710,0,7
1,2021-01-08 00:00:00,624,14,610,0,3
1,2021-01-09 00:00:00,310,28,282,0,5
1,2021-01-10 00:00:00,270,27,243,0,2
1,2021-01-11 00:00:00,705,11,694,0,2
1,2021-01-12 00:00:00,553,13,540,0,5
1,2021-01-13 00:00:00,661,19,642,0,6
1,2021-01-14 00:00:00,549,12,537,0,1
1,2021-01-15 00:00:00,630,11,619,0,1
1,2021-01-16 00:00:00,305,33,272,0,4
1,2021-01-17 00:00:00,247,24,223,0,2
1,2021-01-18 00:00:00,558,8,550,0,4
1,2021-01-19 00:00:00,554,22,532,0,8
1,2021-01-20 00:00:00,463,11,452,0,3
1,2021-01-21 00:00:00,486,7,479,0,3
1,2021-01-22 00:00:00,490,16,474,0,6
1,2021-01-23 00:00:00,230,19,211,0,1
1,2021-01-24 00:00:00,166,13,153,0,0
1,2021-01-25 00:00:00,590,17,573,1,8
1,2021-01-26 00:00:00,518,15,503,0,7
1,2021-01-27 00:00:00,548,11,537,0,5
1,2021-01-28 00:00:00,506,20,486,0,8
1,2021-01-29 00:00:00,502,13,489,0,3
1,2021-01-30 00:00:00,271,23,248,0,1
1,2021-01-31 00:00:00,323,21,302,0,2
1,2021-02-01 00:00:00,501,18,483,0,4
1,2021-02-02 00:00:00,407,11,396,0,3
1,2021-02-03 00:00:00,430,11,419,0,3
1,2021-02-04 00:00:00,374,13,361,0,3
1,2021-02-05 00:00:00,343,8,335,0,4
1,2021-02-06 00:00:00,132,12,120,0,0
1,2021-02-07 00:00:00,172,17,155,0,3
1,2021-02-08 00:00:00,495,15,480,0,5
1,2021-02-09 00:00:00,398,10,388,0,3
1,2021-02-10 00:00:00,408,6,402,0,3
1,2021-02-11 00:00:00,379,8,371,0,2
1,2021-02-12 00:00:00,346,4,342,0,1
1,2021-02-13 00:00:00,253,24,229,0,5
1,2021-02-14 00:00:00,125,15,110,0,6
1,2021-02-15 00:00:00,226,13,213,0,0
1,2021-02-16 00:00:00,223,5,218,0,2
1,2021-02-17 00:00:00,524,13,511,0,3
1,2021-02-18 00:00:00,413,5,408,0,2
1,2021-02-19 00:00:00,670,8,662,0,2
1,2021-02-20 00:00:00,216,10,206,0,0
1,2021-02-21 00:00:00,139,9,130,0,1
1,2021-02-22 00:00:00,571,9,562,0,3
1,2021-02-23 00:00:00,444,12,432,0,2
1,2021-02-24 00:00:00,461,7,454,0,2
1,2021-02-25 00:00:00,443,16,427,0,6
1,2021-02-26 00:00:00,416,12,404,0,2
1,2021-02-27 00:00:00,181,21,160,0,2
1,2021-02-28 00:00:00,195,24,171,0,3
1,2021-03-01 00:00:00,428,7,421,0,3
1,2021-03-02 00:00:00,322,3,319,0,1
1,2021-03-03 00:00:00,360,13,347,0,5
1,2021-03-04 00:00:00,409,12,397,0,2
1,2021-03-05 00:00:00,377,10,367,0,5
1,2021-03-06 00:00:00,150,18,132,0,3
1,2021-03-07 00:00:00,137,10,127,0,0
1,2021-03-08 00:00:00,399,4,395,0,2
1,2021-03-09 00:00:00,348,9,339,0,1
1,2021-03-10 00:00:00,438,15,423,0,3
1,2021-03-11 00:00:00,386,9,377,0,3
1,2021-03-12 00:00:00,419,18,401,0,6
1,2021-03-13 00:00:00,327,17,310,0,1
1,2021-03-14 00:00:00,334,22,312,0,2
1,2021-03-15 00:00:00,547,4,543,0,2
1,2021-03-16 00:00:00,459,5,454,0,0
1,2021-03-17 00:00:00,383,4,379,0,1
1,2021-03-18 00:00:00,467,8,459,0,1
1,2021-03-19 00:00:00,457,17,440,0,3
1,2021-03-20 00:00:00,231,10,221,0,1
1,2021-03-21 00:00:00,273,14,259,0,1
1,2021-03-22 00:00:00,489,8,481,0,2
1,2021-03-23 00:00:00,572,13,559,0,2
1,2021-03-24 00:00:00,488,22,466,0,3
1,2021-03-25 00:00:00,555,9,546,0,3
1,2021-03-26 00:00:00,512,17,495,0,5
1,2021-03-27 00:00:00,565,18,547,0,1
1,2021-03-28 00:00:00,507,21,486,0,1
1,2021-03-29 00:00:00,784,11,773,0,3
1,2021-03-30 00:00:00,837,12,825,0,3
1,2021-03-31 00:00:00,781,25,756,0,5
1,2021-04-01 00:00:00,325,2,323,0,0
1,2021-04-02 00:00:00,555,25,530,0,4
1,2021-04-03 00:00:00,373,24,349,0,2
1,2021-04-04 00:00:00,608,29,579,0,2
1,2021-04-05 00:00:00,1062,23,1039,0,6
1,2021-04-06 00:00:00,1098,28,1070,0,9
1,2021-04-07 00:00:00,1217,35,1182,0,10
1,2021-04-08 00:00:00,1123,22,1101,0,7
1,2021-04-09 00:00:00,1023,31,992,0,7
1,2021-04-10 00:00:00,709,40,669,0,4
1,2021-04-11 00:00:00,710,13,697,0,2
1,2021-04-12 00:00:00,1188,36,1152,0,9
1,2021-04-13 00:00:00,1138,36,1102,0,4
1,2021-04-14 00:00:00,1010,34,976,0,8
1,2021-04-15 00:00:00,949,37,912,0,8
1,2021-04-16 00:00:00,958,37,921,0,6
1,2021-04-17 00:00:00,551,31,520,0,5
1,2021-04-18 00:00:00,518,31,487,0,5
1,2021-04-19 00:00:00,1239,32,1207,0,8
1,2021-04-20 00:00:00,1080,35,1045,0,5
1,2021-04-21 00:00:00,1021,14,1007,0,7
1,2021-04-22 00:00:00,1022,0,1022,0,4
1,2021-04-23 00:00:00,959,1,958,0,2
1,2021-04-24 00:00:00,596,1,595,0,0
1,2021-04-25 00:00:00,375,5,370,0,0
1,2021-04-26 00:00:00,857,16,841,0,3
1,2021-04-28 00:00:00,821,45,776,0,14
1,2021-04-29 00:00:00,813,29,784,0,10
1,2021-04-30 00:00:00,756,30,726,0,7
1,2021-05-01 00:00:00,426,24,402,0,2
1,2021-05-02 00:00:00,467,18,449,0,3
1,2021-05-03 00:00:00,980,30,950,0,10
1,2021-05-04 00:00:00,830,30,800,0,10
1,2021-05-05 00:00:00,732,28,704,0,4
1,2021-05-06 00:00:00,656,17,639,0,5
1,2021-05-07 00:00:00,726,27,699,0,8
1,2021-05-08 00:00:00,445,36,409,0,5
1,2021-05-09 00:00:00,407,45,362,0,9
1,2021-05-10 00:00:00,770,43,727,0,12
1,2021-05-11 00:00:00,626,27,599,0,8
1,2021-05-12 00:00:00,729,22,707,0,6
1,2021-05-13 00:00:00,628,40,588,0,7
1,2021-05-14 00:00:00,698,32,666,0,13
1,2021-05-15 00:00:00,429,34,395,0,9
1,2021-05-16 00:00:00,333,32,301,0,6
1,2021-05-17 00:00:00,704,28,676,0,8
1,2021-05-18 00:00:00,723,34,689,0,12
1,2021-05-19 00:00:00,664,27,637,0,5
1,2021-05-20 00:00:00,657,32,625,0,4
1,2021-05-21 00:00:00,664,32,632,0,6
1,2021-05-22 00:00:00,526,28,498,0,4
1,2021-05-23 00:00:00,471,20,451,0,2
1,2021-05-24 00:00:00,485,25,460,0,6
1,2021-05-25 00:00:00,433,17,416,0,3
1,2021-05-26 00:00:00,774,38,736,0,12
1,2021-05-27 00:00:00,688,38,650,0,7
1,2021-05-28 00:00:00,642,47,595,0,10
1,2021-05-29 00:00:00,361,19,342,0,4
1,2021-05-30 00:00:00,360,33,327,0,6
1,2021-05-31 00:00:00,378,12,366,0,1
1,2021-06-02 00:00:00,646,26,620,0,4
1,2020-03-17 00:00:00,4426,1461,2965,1461,67
1,2020-03-18 00:00:00,2239,166,2073,4,3
1,2020-03-19 00:00:00,2347,204,2143,15,22
1,2020-03-20 00:00:00,2404,167,2237,24,27
1,2020-03-21 00:00:00,1303,163,1140,22,26
1,2020-03-22 00:00:00,1429,135,1294,25,24
1,2020-03-23 00:00:00,1489,159,1330,26,31
1,2020-03-24 00:00:00,1366,179,1187,27,35
1,2020-03-25 00:00:00,1738,191,1547,17,25
1,2020-03-26 00:00:00,1682,194,1488,26,35
1,2020-03-27 00:00:00,1680,227,1453,24,48
1,2020-03-28 00:00:00,1207,180,1027,17,17
1,2020-03-29 00:00:00,875,153,722,16,14
1,2020-03-30 00:00:00,1127,198,929,28,26
1,2020-03-31 00:00:00,848,296,552,39,26
1,2020-04-01 00:00:00,1011,263,748,67,26
1,2020-04-02 00:00:00,877,119,758,10,18
1,2020-04-03 00:00:00,691,109,582,1,22
1,2020-04-04 00:00:00,729,272,457,18,25
1,2020-04-05 00:00:00,582,200,382,7,5
1,2020-04-06 00:00:00,733,124,609,9,14
1,2020-04-07 00:00:00,647,123,524,4,8
1,2020-04-08 00:00:00,611,123,488,6,12
1,2020-04-09 00:00:00,573,103,470,9,8
1,2020-04-10 00:00:00,517,183,334,5,12
1,2020-04-11 00:00:00,428,143,285,2,7
1,2020-04-12 00:00:00,424,157,267,0,7
1,2020-04-13 00:00:00,499,124,375,6,10
1,2020-04-14 00:00:00,393,84,309,2,4
1,2020-04-15 00:00:00,360,95,265,4,11
1,2020-04-16 00:00:00,450,152,298,3,6
1,2020-04-17 00:00:00,521,185,336,4,17
1,2020-04-18 00:00:00,430,236,194,1,11
1,2020-04-19 00:00:00,318,181,137,8,16
1,2020-04-20 00:00:00,388,24,364,0,11
1,2020-04-21 00:00:00,418,128,290,0,12
1,2020-04-22 00:00:00,380,57,323,6,22
1,2020-04-23 00:00:00,339,52,287,4,16
1,2020-04-24 00:00:00,450,178,272,1,12
1,2020-04-25 00:00:00,199,37,162,1,16
1,2020-04-26 00:00:00,163,24,139,3,11
1,2020-04-27 00:00:00,333,76,257,2,20
1,2020-04-28 00:00:00,238,37,201,0,5
1,2020-04-29 00:00:00,331,113,218,0,12
1,2020-04-30 00:00:00,356,163,193,0,11
1,2020-05-01 00:00:00,145,28,117,0,9
1,2020-05-02 00:00:00,75,14,61,0,8
1,2020-05-03 00:00:00,91,12,79,0,5
1,2020-05-04 00:00:00,201,24,177,1,11
1,2020-05-05 00:00:00,325,168,157,1,10
1,2020-05-06 00:00:00,157,21,136,2,17
1,2020-05-07 00:00:00,207,48,159,0,18
1,2020-05-08 00:00:00,195,31,164,1,18
1,2020-05-09 00:00:00,259,182,77,4,13
1,2020-05-10 00:00:00,156,73,83,1,4
1,2020-05-11 00:00:00,267,25,242,5,11
1,2020-05-12 00:00:00,254,26,228,1,17
1,2020-05-13 00:00:00,240,18,222,0,9
1,2020-05-14 00:00:00,359,154,205,2,12
1,2020-05-15 00:00:00,242,21,221,1,6
1,2020-05-16 00:00:00,197,114,83,4,9
1,2020-05-17 00:00:00,100,34,66,1,12
1,2020-05-18 00:00:00,418,119,299,3,23
1,2020-05-19 00:00:00,337,33,304,0,19
1,2020-05-20 00:00:00,357,69,288,1,19
1,2020-05-21 00:00:00,506,136,370,2,15
1,2020-05-22 00:00:00,523,31,492,2,17
1,2020-05-23 00:00:00,221,65,156,1,9
1,2020-05-24 00:00:00,410,221,189,9,15
1,2020-05-25 00:00:00,367,186,181,8,10
1,2020-05-26 00:00:00,399,38,361,4,26
1,2020-05-27 00:00:00,481,71,410,3,21
1,2020-05-28 00:00:00,611,239,372,1,19
1,2020-05-29 00:00:00,465,98,367,0,14
1,2020-05-30 00:00:00,194,32,162,4,11
1,2020-05-31 00:00:00,280,157,123,7,8
1,2020-06-01 00:00:00,395,23,372,4,18
1,2020-06-02 00:00:00,436,24,412,6,12
1,2020-06-03 00:00:00,417,33,384,3,15
1,2020-06-04 00:00:00,418,27,391,2,12
1,2020-06-05 00:00:00,411,34,377,3,14
1,2020-06-06 00:00:00,280,58,222,2,20
1,2020-06-07 00:00:00,451,247,204,15,19
1,2020-06-08 00:00:00,517,52,465,2,23
1,2020-06-09 00:00:00,545,129,416,5,16
1,2020-06-10 00:00:00,659,136,523,2,23
1,2020-06-11 00:00:00,510,92,418,4,17
1,2020-06-12 00:00:00,716,189,527,1,20
1,2020-06-13 00:00:00,238,61,177,1,15
1,2020-06-14 00:00:00,257,39,218,1,8
1,2020-06-15 00:00:00,292,78,214,4,10
1,2020-06-16 00:00:00,38,6,32,0,5
1,2020-06-17 00:00:00,708,49,659,4,29
1,2020-06-18 00:00:00,54,3,51,0,4
1,2020-06-23 00:00:00,775,70,705,5,27
1,2020-06-24 00:00:00,754,70,684,5,22
1,2020-06-25 00:00:00,723,84,639,1,24
1,2020-06-26 00:00:00,680,92,588,3,23
1,2020-06-27 00:00:00,492,185,307,2,11
1,2020-06-28 00:00:00,284,60,224,4,15
1,2020-06-29 00:00:00,702,87,615,1,20
1,2020-06-30 00:00:00,620,45,575,2,19
1,2020-07-01 00:00:00,670,129,541,2,24
1,2020-07-02 00:00:00,611,58,553,1,29
1,2020-07-03 00:00:00,510,27,483,0,11
1,2020-07-04 00:00:00,367,47,320,5,14
1,2020-07-05 00:00:00,345,52,293,1,20
1,2020-07-06 00:00:00,711,146,565,1,20
1,2020-07-07 00:00:00,512,92,420,1,12
1,2020-07-08 00:00:00,547,36,511,5,19
1,2020-07-09 00:00:00,304,41,263,1,6
1,2020-07-10 00:00:00,219,22,197,1,7
1,2020-07-11 00:00:00,372,126,246,1,5
1,2020-07-12 00:00:00,259,21,238,1,4
1,2020-07-13 00:00:00,677,42,635,0,20
1,2020-07-14 00:00:00,552,115,437,2,15
1,2020-07-15 00:00:00,133,58,75,1,14
1,2020-07-16 00:00:00,151,79,72,1,19
1,2020-07-17 00:00:00,151,34,117,4,10
1,2020-07-18 00:00:00,42,41,1,1,12
1,2020-07-19 00:00:00,52,35,17,5,10
1,2020-07-20 00:00:00,100,59,41,3,15
1,2020-07-21 00:00:00,65,65,0,3,12
1,2020-07-22 00:00:00,127,126,1,2,14
1,2020-07-23 00:00:00,30,29,1,1,11
1,2020-07-24 00:00:00,112,112,0,2,7
1,2020-07-25 00:00:00,22,21,1,0,2
1,2020-07-26 00:00:00,16,16,0,0,2
1,2020-07-27 00:00:00,96,96,0,3,8
1,2020-07-28 00:00:00,35,35,0,0,9
1,2020-07-29 00:00:00,29,28,1,1,17
1,2020-07-30 00:00:00,390,29,361,1,9
1,2020-07-31 00:00:00,582,98,484,1,8
1,2020-08-01 00:00:00,343,61,282,0,9
1,2020-08-02 00:00:00,381,24,357,1,6
1,2020-08-03 00:00:00,787,39,748,1,12
1,2020-08-04 00:00:00,764,41,723,4,17
1,2020-08-05 00:00:00,735,33,702,0,19
1,2020-08-06 00:00:00,652,30,622,2,12
1,2020-08-07 00:00:00,629,28,601,2,8
1,2020-08-08 00:00:00,292,17,275,0,3
1,2020-08-09 00:00:00,331,23,308,0,3
1,2020-08-10 00:00:00,816,42,774,2,15
1,2020-08-11 00:00:00,744,128,616,5,7
1,2020-08-12 00:00:00,726,70,656,1,11
1,2020-08-13 00:00:00,721,34,687,0,12
1,2020-08-14 00:00:00,690,29,661,3,10
1,2020-08-15 00:00:00,340,35,305,0,3
1,2020-08-16 00:00:00,351,29,322,0,6
1,2020-08-17 00:00:00,370,28,342,0,5
1,2020-08-18 00:00:00,677,29,648,2,8
1,2020-08-19 00:00:00,610,30,580,1,10
1,2020-08-20 00:00:00,712,39,673,1,10
